ADM2_EN;ADM2_PCODE;WIP;latitude;longitude
Bogor;ID3201;12;-6.6;106.8
Sukabumi;ID3202;12;-6.92405;106.922203
Cianjur;ID3203;24;-6.8172531;107.1307289
Bandung;ID3204;22;-6.9147444;107.6098111
Garut;ID3205;16;-7.227906;107.908699
Tasikmalaya;ID3206;16;-7.327954;108.214104
Ciamis;ID3207;10;-7.3333333;108.35
Kuningan;ID3208;26;-6.9833333;108.4833333
Cirebon;ID3209;26;-6.715534;108.564003
Majalengka;ID3210;16;-6.8531026;108.2258897
Sumedang;ID3211;18;-6.8621;107.9207
Indramayu;ID3212;22;-6.336315;108.325104
Subang;ID3213;20;-6.569361;107.752403
Purwakarta;ID3214;24.4;-6.5386806;107.4499404
Karawang;ID3215;20;-6.3227303;107.3375791
Bekasi;ID3216;12;-6.2333333;107
Bandung Barat;ID3217;12;-6.8937121;107.4321959
Pangandaran;ID3218;17.1;-7.7017;108.4946
Kota Bogor;ID3271;11.1;-6.6;106.8
Kota Sukabumi;ID3272;14.3;-6.92405;106.922203
Kota Bandung;ID3273;10;-6.9147444;107.6098111
Kota Cirebon;ID3274;22.9;-6.715534;108.564003
Kota Bekasi;ID3275;16;-6.2333333;107
Kota Depok;ID3276;38;-6.39;106.83
Kota Cimahi;ID3277;31.1;-6.880239;107.5355
Kota Tasikmalaya;ID3278;11.1;-7.327954;108.214104
Kota Banjar;ID3279;8;-7.3666667;108.5333333
