nid;name;serial;latitude;longitude
1;Provinsi Aceh;11;5.55;95.3166667
2;Provinsi Sumatera Utara;12;3.585242;98.6755979
3;Provinsi Sumatera Barat;13;-0.95;100.3530556
4;Provinsi Riau;14;0.5333333;101.45
5;Provinsi Jambi;15;-1.596672;103.615799
6;Provinsi Sumatera Selatan;16;-2.9911083;104.7567333
7;Provinsi Bengkulu;17;-3.7955556;102.2591667
8;Provinsi Lampung;18;-5.45;105.2666667
9;Provinsi Kepulauan Bangka Belitung;19;-2.129323;106.109596
10;Provinsi Kepulauan Riau;21;0.9179205;104.446464
11;Provinsi DKI Jakarta;31;-6.211544;106.845172
12;Provinsi Jawa Barat;32;-6.9147444;107.6098111
13;Provinsi Jawa Tengah;33;-6.9666667;110.4166667
14;Provinsi DI Yogyakarta;34;-7.797224;110.368797
15;Provinsi Jawa Timur;35;-7.289166;112.734398
16;Provinsi Banten;36;-6.12009;106.150299
17;Provinsi Bali;51;-8.65629;115.222099
18;Provinsi Nusa Tenggara Barat;52;-8.5833333;116.1166667
19;Provinsi Nusa Tenggara Timur;53;-10.1833333;123.5833333
20;Provinsi Kalimantan Barat;61;-0.022523;109.330307
21;Provinsi Kalimantan Tengah;62;-2.21;113.92
22;Provinsi Kalimantan Selatan;63;-3.328499;114.589203
23;Provinsi Kalimantan Timur;64;-0.502183;117.153801
24;Provinsi Sulawesi Utara;71;1.4917014;124.842843
25;Provinsi Sulawesi Tengah;72;-0.898583;119.850601
26;Provinsi Sulawesi Selatan;73;-5.1333333;119.4166667
27;Provinsi Sulawesi Tenggara;74;-3.972201;122.5149028
28;Provinsi Gorontalo;75;0.5333333;123.0666667
29;Provinsi Sulawesi Barat;76;-2.7293364;118.9295737
30;Provinsi Maluku;81;-3.65607;128.166419
31;Provinsi Maluku Utara;82;0.7833333;127.3666667
32;Provinsi Papua Barat;91;-0.8666667;131.25
33;Provinsi Papua;94;-2.533;140.717
34;Provinsi Kalimantan Utara;65;2.9042476;116.9852422
